简码：aq	安全
简码：av	按照
简码：ap	安排
简码：ac	按错
简码：au	按时
简码：aj	安静
简码：ag	昂贵
简码：ad	按到
简码：aw	安慰
简码：ax	爱惜
简码：ab	安保
简码：af	安分
简码：ak	拗口
简码：al	按理
简码：ar	黯然
简码：as	暗算
简码：at	凹凸
简码：ay	安逸
简码：az	暗自
简码：am	暧昧
简码：ae	挨饿
简码：aadb	嗷嗷待哺
简码：aajj	安安静静
简码：aapp	矮矮胖胖
简码：aaqq	安安全全
简码：aaww	安安稳稳
简码：aaxx	安安心心
简码：abai	爱不爱
简码：abbd	按兵不动
简码：abbu	哀兵必胜
简码：abdg	安邦定国
简码：abdi	安步当车
简码：abdy	阿鼻地狱
简码：abgo	熬不过
简码：abhz	阿布哈兹
简码：abjp	矮半截
简码：abjb	按部就班
简码：ablo	阿波罗
简码：ablk	爱别离苦
简码：ablm	鞍不离马
简码：abuu	爱不释手
简码：abvu	熬不住
简码：abvb	阿布扎比
简码：acrk	爱才若渴
简码：acrm	爱财如命
简码：acuj	暗藏杀机
简码：acxj	暗藏玄机
简码：ader	安道尔
简码：adic	暗渡陈仓
简码：adl	按道理
简码：adli	奥地利
简码：adly	澳大利亚
简码：adwn	安度晚年
简码：aeby	阿尔巴尼亚
简码：aefa	阿尔法
简码：aejy	阿尔及利亚
简码：aeje	阿尔及尔
简码：aelj	爱尔兰
简码：afet	埃菲尔铁塔
简码：afhj	阿富汗
简码：afti	阿凡提
简码：afuj	安分守己
简码：agjy	爱岗敬业
简码：agla	安哥拉
简码：agtk	阿根廷
简码：aguy	熬更守夜
简码：agve	爱国者
简码：agvy	爱国主义
简码：ahby	哀鸿遍野
简码：ahri	安好如初
简码：ahug	安徽省
简码：aixy	暗潮汹涌
简码：aizu	阿昌族
简码：ajah	挨家挨户
简码：ajcb	挨肩擦背
简码：ajle	安静了
简码：ajlh	安家落户
简码：ajly	安居乐业
简码：ajmd	阿基米德
简码：ajnf	暗箭难防
简码：ajsr	氨基酸
简码：ajur	暗箭伤人
简码：akbk	爱看不看
简码：albo	阿拉伯
简码：albb	阿里巴巴
简码：albl	爱理不理
简码：albg	阿拉伯联合酋长国
简码：albz	阿拉伯数字
简码：alba	阿鲁巴
简码：aldk	阿拉丁
简码：alfp	按劳分配
简码：alhv	安理会
简码：alpk	奥林匹克
简码：alqq	阿联酋
简码：alqi	按劳取酬
简码：alsi	安乐死
简码：aluo	按理说
简码：aluj	阿里山
简码：alwo	安乐窝
简码：amag	阿猫阿狗
简码：amds	哀莫大于心死
简码：amld	鞍马劳顿
简码：amnv	爱莫能助
简码：amrz	爱民如子
简码：amsd	阿姆斯特丹
简码：amvx	爱美之心
简码：amwq	奥妙无穷
简码：amyc	安眠药
简码：amzi	爱面子
简码：anbv	按捺不住
简码：anby	懊恼不已
简码：apld	安贫乐道
简码：aqdy	安全第一
简码：aqhd	爱琴海
简码：aqgj	安全感
简码：aqju	安全局
简码：aqmh	鞍前马后
简码：aqrm	爱钱如命
简码：aqpm	爱情片
简码：artl	傲然挺立
简码：artu	安如泰山
简码：arus	黯然失色
简码：aruu	黯然神伤
简码：arwy	安然无恙
简码：arxh	黯然销魂
简码：aryl	傲然屹立
简码：asbj	阿塞拜疆
简码：asey	埃塞俄比亚
简码：asjm	爱斯基摩
简码：aska	奥斯卡
简码：aslu	奥斯陆
简码：aspl	阿司匹林
简码：asqb	暗送秋波
简码：atbp	凹凸不平
简码：atkq	暗通款曲
简码：atjk	凹透镜
简码：atsj	按图索骥
简码：atug	安徒生
简码：atyj	哀痛欲绝
简码：auaj	碍手碍脚
简码：aubu	爱说不说
简码：aukb	昂首阔步
简码：aulm	安身立命
简码：auma	阿诗玛
简码：auny	爱沙尼亚
简码：auqx	傲视群雄
简码：autx	昂首挺胸
简码：autq	唉声叹气
简码：auvd	安身之地
简码：auvl	安史之乱
简码：auvi	安身之处
简码：avbj	安装版
简码：avew	安枕而卧
简码：avff	安知非福
简码：avms	暗中摸索
简码：avrs	安之若素
简码：avwy	安枕无忧
简码：avyu	爱之欲其生
简码：awhv	奥委会
简码：awjw	爱屋及乌
简码：awtr	暗无天日
简码：axbx	爱信不信
简码：axcz	暗箱操作
简码：axfp	按需分配
简码：axhp	按下葫芦起来瓢
简码：axjl	爱新觉罗
简码：axuy	暗香疏影
简码：axym	爱惜羽毛
简码：ayhv	奥运会
简码：ayst	爱因斯坦
简码：ayvv	安营扎寨
简码：ayxv	安于现状
简码：azbk	艾滋病
简码：azfm	爱憎分明
简码：azpc	腌臜泼才
简码：bx	必须
简码：bt	不同
简码：bv	保证
简码：bq	并且
简码：by	必要
简码：bz	不再
简码：bs	比赛
简码：bl	本来
简码：br	不然
简码：be	不饿
简码：bael	北爱尔兰
简码：bahx	不安好心
简码：baq	不安全
简码：bazu	保安族
简码：bbbi	并不比
简码：bbbk	不卑不亢
简码：bbbd	不比不知道
简码：bbdc	办不到
简码：bbde	巴不得
简码：bbdn	百般刁难
简码：bbdv	不必当真
简码：bbdy	逼不得已
简码：bbds	巴巴多斯
简码：bbig	办不成
简码：bbiy	百步穿杨
简码：bbju	比比皆是
简码：bbjx	步步惊心
简码：bbjb	步步紧逼
简码：bbjj	白白净净
简码：bbko	不包括
简码：bbku	必不可少
简码：bbl	八百里
简码：bbll	冰冰凉凉
简码：bbly	巴比伦
简码：bblx	便把令来行
简码：bbmm	爸爸妈妈
简码：bbpp	白白胖胖
简码：bbqq	北半球
简码：bbrd	兵败如山倒
简码：bbth	棒棒糖
简码：bbtt	蹦蹦跳跳
简码：bbui	并不是
简码：bbuu	并不是说
简码：bbuh	比不上
简码：bbum	帮不上忙
简码：bbvz	八宝粥
简码：bbvd	并不知道
简码：bbvj	八拜之交
简码：bbvw	不辨真伪
简码：bbvy	不白之冤
简码：bbwn	被逼无奈
简码：bbwj	北部湾
简码：bbwx	白璧微瑕
简码：bbwy	步步为营
简码：bbxr	兵不血刃
简码：bbxy	并不需要
简码：bbyc	不必要
简码：bbyh	北冰洋
简码：bbyl	彬彬有礼
简码：bbyv	兵不厌诈
简码：bbyd	并不一定
简码：bbyy	巴布亚新几内亚
简码：bbzi	半辈子
简码：bbzy	不必在意
简码：bceb	不辞而别
简码：bcfy	不测风云
简码：bcgm	本草纲目
简码：bchx	包藏祸心
简码：bcjd	不存芥蒂
简码：bckr	病从口入
简码：bcl	不错了
简码：bclk	不辞劳苦
简码：bcmb	百辞莫辩
简码：bcuq	抱残守缺
简码：bcwn	博茨瓦纳
简码：bdb	不得不
简码：bdbl	宝刀不老
简码：bdbq	百毒不侵
简码：bdbt	不得不低头
简码：bdbx	不大不小
简码：bdby	百读不厌
简码：bddj	不大对劲
简码：bddt	不登大雅之堂
简码：bdev	不得而知
简码：bdei	背道而驰
简码：bdeq	拔地而起
简码：bdfg	白癜风
简码：bdhs	不得好死
简码：bdij	不动产
简码：bdih	不到长城非好汉
简码：bdj	不对劲
简码：bdjg	兵多将广
简码：bdjw	不懂就问
简码：bdkh	遍地开花
简码：bdkn	不大可能
简码：bdln	不得了
简码：bdli	背地里
简码：bdlg	布达拉宫
简码：bdll	不得了了
简码：bdmd	不达目的
简码：bdnl	表达能力
简码：bdq	不定期
简码：bdqf	不得其法
简码：bdqs	不得其所
简码：bdqx	北斗七星
简码：bdrx	不得人心
简码：bdru	不动如山
简码：bdsr	不打算
简码：bdsi	冰冻三尺
简码：bdtg	不断提高
简码：bdti	拔得头筹
简码：bdus	不动声色
简码：bduv	不得善终
简码：bdvf	别当真
简码：bdvd	不懂装懂
简码：bdw	本单位
简码：bdwl	宝刀未老
简码：bdx	北斗星
简码：bdxv	拔刀相助
简码：bdy	不等于
简码：bdyi	不得已
简码：bdyl	弊大于利
简码：bdyv	步调一致
简码：bdyk	不答应
简码：bdz	半吊子
简码：bdzv	不打自招
简码：bebj	避而不见
简码：bebt	避而不谈
简码：befm	不二法门
简码：begj	巴尔干
简码：bels	白俄罗斯
简码：beuk	布尔什维克
简码：bevx	不二之选
简码：bevk	巴尔扎克
简码：bfbm	不方便
简码：bfbd	百分百
简码：bfbi	百分比
简码：bfbv	百发百中
简码：bfcc	白发苍苍
简码：bfcz	不复存在
简码：bfcu	不负此生
简码：bfdx	百废待兴
简码：bfhc	百分号
简码：bfhu	暴发户
简码：bfil	不费吹灰之力
简码：bfjx	百废俱兴
简码：bfku	白费口舌
简码：bflq	白费力气
简码：bfq	不服气
简码：bfqb	不分青红皂白
简码：bfqr	不乏其人
简码：bfst	不负所托
简码：bfty	悲愤填膺
简码：bfuo	比方说
简码：bfuh	不负韶华
简码：bfvb	百分之百
简码：bfvt	不法之徒
简码：bfvw	不负众望
简码：bfvy	百分之一
简码：bfx	不放心
简码：bfxj	白费心机
简码：bfxv	不分轩轾
简码：bfxw	不法行为
简码：bfy	暴风雨
简码：bfyz	不费一兵一卒
简码：bfze	不负责
简码：bfzr	不负责任
简码：bfzl	不放在眼里
简码：bgbd	半工半读
简码：bgbg	不管不顾
简码：bgbj	不干不净
简码：bgbi	笔耕不辍
简码：bgbl	包工包料
简码：bgdh	不敢当
简码：bgdt	不共戴天
简码：bgdj	半个多世纪
简码：bgee	不过尔尔
简码：bggt	不敢苟同
简码：bgjk	白骨精
简码：bgjj	百感交集
简码：bgjm	不甘寂寞
简码：bgjn	不干胶
简码：bglh	不甘落后
简码：bglj	八国联军
简码：bgll	波光粼粼
简码：bglm	不敢掠美
简码：bglu	不归路
简码：bgpk	不公平
简码：bgqx	卑躬屈膝
简码：bgrc	不过如此
简码：bgsg	闭关锁国
简码：bgsy	不管三七二十一
简码：bgtj	博古通今
简码：bgty	不关痛痒
简码：bgtz	包工头
简码：bgui	办公室
简码：bguj	半个世纪
简码：bgur	不甘示弱
简码：bgus	兵贵神速
简码：bguy	杯弓蛇影
简码：bgvs	半个钟
简码：bgvf	秉公执法
简码：bgvt	半个钟头
简码：bgwx	报告文学
简码：bgwu	别跟我说
简码：bgxb	不甘心
简码：bgxx	不敢相信
简码：bgxq	不感兴趣
简码：bgxu	半个小时
简码：bgyt	半个月
简码：bgyq	不顾一切
简码：bgys	不够意思
简码：bgyu	不甘于
简码：bgyx	不苟言笑
简码：bgyb	不敢越雷池一步
简码：bgzp	不攻自破
简码：bgzu	闭关自守
简码：bgzv	八竿子打不着
简码：bhba	不会吧
简码：bhbm	不慌不忙
简码：bhbj	饱汉不知饿汉饥
简码：bhdd	变化多端
简码：bhdr	不遑多让
简码：bhdc	北海道
